alpha = 3.835000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 3.860000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 3.885000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 3.910000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 3.935000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 3.960000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 3.985000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.010000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.035000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.060000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.085000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.110000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.135000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.160000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.185000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.210000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.235000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.260000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.285000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.310000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.335000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.360000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.385000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.410000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.435000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.460000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.485000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.510000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.535000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.560000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.585000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.610000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.635000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.660000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.685000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.710000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.735000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.760000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.785000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.810000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.835000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.860000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 4.885000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
